,Weight,Keyword
0,0.027,"""point"" "
1, 0.027,"""safe"" "
2, 0.027,"""mask"" "
3, 0.027,"""available"" "
4, 0.027,"""equipment"" "
5, 0.027,"""regulation"" "
6, 0.027,"""vaccine"" "
7, 0.015,"""least"" "
8, 0.015,"""safeguard"" "
9, 0.015,"""such"""
